MSSubClass,MSZoning,LotFrontage,LotArea,Street,OverallQual,OverallCond,YearBuilt,YearRemo,TotalBsmtSF,GrLivArea,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,GarageCars,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SalePrice
70,1,50,5250,0,8,5,1872,1987,684,2358,2,0,4,1,0,0,54,20,0,0,0,0,12,2008,122000
50,0,54,6342,0,5,8,1875,1996,780,1020,1,0,2,1,0,0,0,176,0,0,0,0,5,2010,94000
75,1,87,18386,0,7,9,1880,2002,1470,3493,3,0,3,1,3,302,0,0,0,0,0,0,5,2008,295000
70,1,65,11700,0,7,7,1880,2003,1240,2640,1,1,4,1,4,181,0,386,0,0,0,0,5,2009,265979
70,1,50,9000,0,5,6,1880,1991,636,1750,1,0,3,1,1,0,0,293,0,0,0,0,6,2006,124000
70,1,90,9900,0,6,4,1880,1950,1008,2210,2,0,5,1,1,0,48,0,0,0,0,0,5,2007,117500
70,1,121,17671,0,8,9,1882,1986,916,1742,1,1,4,1,2,0,169,0,0,0,0,0,11,2009,168000
190,1,60,11340,0,4,6,1885,1950,777,2290,2,0,4,2,2,0,0,114,0,0,0,0,4,2010,122500
30,1,60,10800,0,4,7,1885,1995,641,1047,1,0,2,1,1,0,0,0,0,0,0,450,8,2007,100000
70,1,60,10800,0,7,8,1890,1998,718,2554,1,1,3,1,2,0,48,143,0,0,0,0,7,2007,159500
50,1,98,8820,0,5,6,1890,1996,1088,1869,1,0,2,1,2,48,0,244,0,0,0,0,9,2009,124900
70,1,60,6600,0,5,4,1892,1965,994,2372,2,0,4,2,1,0,287,0,0,0,0,0,12,2009,107500
75,1,75,13500,0,10,9,1893,2000,1237,2775,3,1,3,1,2,105,502,0,0,0,0,0,7,2008,325000
190,0,60,10800,0,5,4,1900,1970,954,2414,2,0,3,2,2,142,0,0,0,0,0,0,5,2006,160000
90,0,67,8777,0,5,7,1900,2003,1272,2200,2,2,4,2,0,0,70,0,0,0,0,0,9,2008,145900
190,1,76,7630,0,5,9,1900,1996,360,1812,2,0,4,2,2,344,0,40,0,0,0,0,5,2010,140000
50,0,50,8405,0,5,8,1900,1950,861,1367,1,0,4,1,1,0,130,112,0,0,0,0,4,2008,119000
190,0,60,10800,0,4,7,1900,2000,0,1294,2,0,3,2,0,220,114,210,0,0,0,0,8,2008,106250
50,2,66,8712,0,4,7,1900,1950,859,1178,1,0,2,1,1,68,0,98,0,0,0,0,1,2010,102776
